params,losses,mean_loss
"{'batch_size': 4096, 'dropout1': 0.161, 'dropout2': 0.379, 'dropout3': 0.059, 'dropout4': 0.44, 'dropout5': 0.046, 'dropout6': 0.003, 'dropout7': 0.31, 'dropout8': 0.068, 'hidden_size1': 512, 'hidden_size2': 48, 'hidden_size3': 128, 'hidden_size4': 256, 'hidden_size5': 48, 'hidden_size6': 512, 'hidden_size7': 96, 'hidden_size8': 512, 'learning_rate': 1e-05, 'n_layers': 2, 'num_epochs': 35}","[0.7789833720516561, 0.7756368152468769, 0.7830078491229793]",0.7792093454738375
"{'batch_size': 5120, 'dropout1': 0.495, 'dropout2': 0.384, 'dropout3': 0.152, 'dropout4': 0.156, 'dropout5': 0.013, 'dropout6': 0.281, 'dropout7': 0.346, 'dropout8': 0.229, 'hidden_size1': 32, 'hidden_size2': 448, 'hidden_size3': 512, 'hidden_size4': 96, 'hidden_size5': 32, 'hidden_size6': 32, 'hidden_size7': 256, 'hidden_size8': 48, 'learning_rate': 4e-05, 'n_layers': 4, 'num_epochs': 40}","[0.7732355055292788, 0.7717125051776501, 0.7787560943755754]",0.7745680350275014
"{'batch_size': 2560, 'dropout1': 0.04, 'dropout2': 0.311, 'dropout3': 0.161, 'dropout4': 0.328, 'dropout5': 0.493, 'dropout6': 0.374, 'dropout7': 0.174, 'dropout8': 0.422, 'hidden_size1': 896, 'hidden_size2': 512, 'hidden_size3': 896, 'hidden_size4': 448, 'hidden_size5': 96, 'hidden_size6': 96, 'hidden_size7': 48, 'hidden_size8': 448, 'learning_rate': 0.006, 'n_layers': 5, 'num_epochs': 5}","[0.7853603357112937, 0.7852656341172539, 0.7872884725198886]",0.7859714807828121
"{'batch_size': 12800, 'dropout1': 0.31, 'dropout2': 0.158, 'dropout3': 0.124, 'dropout4': 0.362, 'dropout5': 0.063, 'dropout6': 0.269, 'dropout7': 0.004, 'dropout8': 0.359, 'hidden_size1': 448, 'hidden_size2': 448, 'hidden_size3': 96, 'hidden_size4': 32, 'hidden_size5': 1024, 'hidden_size6': 256, 'hidden_size7': 896, 'hidden_size8': 896, 'learning_rate': 0.02, 'n_layers': 4, 'num_epochs': 15}","[0.786584467748513, 0.7850823480366933, 0.7893599496974004]",0.7870089218275357
"{'batch_size': 2048, 'dropout1': 0.186, 'dropout2': 0.491, 'dropout3': 0.13, 'dropout4': 0.045, 'dropout5': 0.277, 'dropout6': 0.322, 'dropout7': 0.171, 'dropout8': 0.191, 'hidden_size1': 48, 'hidden_size2': 896, 'hidden_size3': 448, 'hidden_size4': 1024, 'hidden_size5': 64, 'hidden_size6': 448, 'hidden_size7': 64, 'hidden_size8': 64, 'learning_rate': 8e-05, 'n_layers': 5, 'num_epochs': 20}","[0.78445477173436, 0.7824301850844902, 0.7881621831924406]",0.785015713337097
"{'batch_size': 1024, 'dropout1': 0.069, 'dropout2': 0.137, 'dropout3': 0.312, 'dropout4': 0.287, 'dropout5': 0.128, 'dropout6': 0.333, 'dropout7': 0.277, 'dropout8': 0.377, 'hidden_size1': 256, 'hidden_size2': 128, 'hidden_size3': 1024, 'hidden_size4': 256, 'hidden_size5': 256, 'hidden_size6': 64, 'hidden_size7': 96, 'hidden_size8': 128, 'learning_rate': 0.008, 'n_layers': 7, 'num_epochs': 45}","[0.7425764776639534, 0.7369662221244686, 0.7348752742650003]",0.7381393246844742
"{'batch_size': 2560, 'dropout1': 0.091, 'dropout2': 0.37, 'dropout3': 0.271, 'dropout4': 0.123, 'dropout5': 0.034, 'dropout6': 0.139, 'dropout7': 0.37, 'dropout8': 0.384, 'hidden_size1': 96, 'hidden_size2': 48, 'hidden_size3': 1024, 'hidden_size4': 48, 'hidden_size5': 256, 'hidden_size6': 96, 'hidden_size7': 256, 'hidden_size8': 48, 'learning_rate': 3.0000000000000004e-05, 'n_layers': 3, 'num_epochs': 30}","[0.7833071977558543, 0.7817261045094275, 0.7874258531970332]",0.7841530518207717
"{'batch_size': 12800, 'dropout1': 0.019, 'dropout2': 0.453, 'dropout3': 0.348, 'dropout4': 0.487, 'dropout5': 0.232, 'dropout6': 0.318, 'dropout7': 0.133, 'dropout8': 0.146, 'hidden_size1': 64, 'hidden_size2': 32, 'hidden_size3': 32, 'hidden_size4': 48, 'hidden_size5': 128, 'hidden_size6': 128, 'hidden_size7': 1024, 'hidden_size8': 128, 'learning_rate': 0.0008, 'n_layers': 8, 'num_epochs': 50}","[0.7826409236705063, 0.7785277701320646, 0.7784827933319618]",0.7798838290448442
"{'batch_size': 4096, 'dropout1': 0.342, 'dropout2': 0.23, 'dropout3': 0.005, 'dropout4': 0.036, 'dropout5': 0.276, 'dropout6': 0.023, 'dropout7': 0.05, 'dropout8': 0.182, 'hidden_size1': 256, 'hidden_size2': 448, 'hidden_size3': 1024, 'hidden_size4': 256, 'hidden_size5': 256, 'hidden_size6': 1024, 'hidden_size7': 256, 'hidden_size8': 48, 'learning_rate': 0.0002, 'n_layers': 2, 'num_epochs': 10}","[0.7827367432207586, 0.7809267096293306, 0.7869882953045297]",0.7835505827182064
"{'batch_size': 4096, 'dropout1': 0.445, 'dropout2': 0.365, 'dropout3': 0.053, 'dropout4': 0.256, 'dropout5': 0.184, 'dropout6': 0.488, 'dropout7': 0.028, 'dropout8': 0.314, 'hidden_size1': 128, 'hidden_size2': 896, 'hidden_size3': 896, 'hidden_size4': 896, 'hidden_size5': 32, 'hidden_size6': 1024, 'hidden_size7': 96, 'hidden_size8': 128, 'learning_rate': 0.0001, 'n_layers': 4, 'num_epochs': 30}","[0.7810086908501788, 0.7783159118918872, 0.7855238727139943]",0.7816161584853534
